repo,media_cbo,mediana_cbo,desvio_padrao_cbo,media_dit,mediana_dit,desvio_padrao_dit,media_lcom,mediana_lcom,desvio_padrao_lcom
jackson-databind,3.78,2.0,5.85,1.74,1.0,1.98,23.6,0.0,294.98
Iris,6.22,4.0,7.48,1.31,1.0,0.87,24.12,0.0,185.96
dependency-track,8.98,6.0,10.31,1.52,1.0,0.73,112.67,1.0,1544.55
ftgo-application,5.35,3.0,5.56,1.19,1.0,0.64,8.19,0.0,31.01
springdoc-openapi,3.93,3.0,4.81,1.31,1.0,0.62,9.07,0.0,105.55
incubator-heron,5.7,4.0,6.09,1.47,1.0,0.91,20.75,1.0,185.35
smart-admin,6.42,4.0,5.98,1.23,1.0,0.44,3.78,0.0,19.15
brigadier,6.64,5.0,5.44,1.15,1.0,0.39,44.55,0.0,231.11
databus,5.53,3.0,8.03,1.36,1.0,0.8,46.73,0.0,228.18
light-4j,4.76,3.0,5.38,1.17,1.0,0.57,25.05,0.0,129.42
Cimoc,5.87,3.0,7.16,1.5,1.0,0.94,23.27,0.0,77.94
groupie,5.1,3.0,5.41,1.83,1.0,1.01,29.9,0.0,141.48
ASimpleCache,4.45,2.0,5.25,1.45,1.0,0.63,38.52,0.0,109.5
marshalsec,7.31,6.0,5.66,1.82,1.0,1.03,14.58,1.0,39.04
rejoiner,6.62,5.0,6.22,1.57,1.0,1.05,4.92,0.0,14.94
initializr,6.21,4.0,6.03,1.26,1.0,0.62,35.64,1.0,180.0
Linkage-RecyclerView,6.4,5.0,6.3,1.55,1.0,0.72,10.39,1.0,24.5
hackpad,5.09,3.0,7.14,1.81,1.0,1.36,152.3,1.0,963.65
android-hidden-api,8.0,7.5,5.48,1.0,1.0,0.0,56.5,0.5,112.33
tika,6.08,4.0,6.54,1.52,1.0,1.78,31.6,1.0,187.31
libstreaming,3.57,2.0,4.56,1.42,1.0,0.86,23.29,0.0,66.56
NewbieGuide,4.31,3.0,4.56,1.18,1.0,0.42,10.44,0.0,65.12
ArchUnit,3.61,2.0,7.09,1.28,1.0,1.05,39.49,0.0,483.82
kubernetes-client,21.89,30.0,13.96,1.12,1.0,0.47,85.88,37.0,565.6
spock,5.4,4.0,6.65,1.44,1.0,1.07,34.4,1.0,184.22
Alink,6.44,5.0,6.24,1.63,1.0,1.0,34.7,0.0,236.71
chatgpt-java,5.28,3.0,6.44,1.28,1.0,0.73,14.59,0.0,57.8
data-transfer-project,6.87,4.0,7.84,1.25,1.0,0.7,6.87,0.0,22.15
emojicon,5.15,4.0,5.24,1.56,1.0,0.79,6.77,0.0,12.98
Android,4.7,4.5,3.46,1.66,2.0,0.58,2.14,1.0,3.94
island,6.8,4.0,7.15,1.52,1.0,0.84,52.11,1.0,350.32
android-maps-utils,7.01,5.0,6.97,1.67,1.0,0.94,37.91,1.0,148.0
Nekogram,6.94,4.0,14.06,1.67,1.0,17.7,70.29,0.0,1357.1
termux-api,5.47,4.0,5.43,1.39,1.0,0.96,3.68,0.0,10.03
android,4.21,2.0,5.76,1.52,1.0,1.04,15.65,0.0,173.81
logging-log4j2,5.52,4.0,5.24,1.51,1.0,1.44,46.47,1.0,1259.9
ExplosionField,4.9,2.0,4.93,1.5,1.5,0.53,4.3,0.0,10.39
vertx-examples,5.35,5.0,2.67,1.82,2.0,0.52,1.03,1.0,2.5
AppUpdate,4.44,3.0,6.01,1.16,1.0,0.41,37.14,1.0,112.16
